HERO ANALYTICS,,,,,,,,,,,,,,,,,,,,,,,,,
Hero,Team Pick,Team Pick Wins,Team Pick WR,Team Ban,Opp Pick,Opp Ban,Presence,Presence Rate,Pick Rank,Ban Rank,Team Ban Rate,,,,,,,,,,,,,,
Hilda,1,0,0.0%,0,3,1,5,71.4%,7,,0.00%,,,,,,,,,,,,,,
Lapu-Lapu,3,2,66.7%,0,0,1,4,57.1%,1,,0.00%,,,,,,,,,,,,,,
Granger,0,0,,0,1,0,1,14.3%,,,0.00%,,,,,,,,,,,,,,
Baxia,1,0,0.0%,0,0,5,6,85.7%,8,,0.00%,,,,,,,,,,,,,,
Fanny,1,0,0.0%,1,1,4,7,100.0%,9,5,14.29%,,,,,,,,,,,,,,
Khaleed,2,1,50.0%,0,2,1,5,71.4%,2,,0.00%,,,,,,,,,,,,,,
Aamon,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Akai,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Aldous,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Alice,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Alpha,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Alucard,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Angela,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Argus,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Atlas,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Aulus,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Aurora,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Badang,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Balmond,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Bane,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Barats,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Belerick,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Benedetta,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Brody,1,1,100.0%,0,0,0,1,14.3%,10,,0.00%,,,,,,,,,,,,,,
Carmilla,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Cecilion,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Chang'e,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Chip,1,1,100.0%,0,0,0,1,14.3%,11,,0.00%,,,,,,,,,,,,,,
Clint,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Cyclops,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Diggie,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Dyrroth,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Edith,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Estes,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Eudora,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Faramis,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Floryn,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Franco,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Fredrinn,2,1,50.0%,0,0,1,3,42.9%,3,,0.00%,,,,,,,,,,,,,,
Freya,1,1,100.0%,4,0,2,7,100.0%,12,1,57.14%,,,,,,,,,,,,,,
Gloo,1,1,100.0%,0,1,0,2,28.6%,13,,0.00%,,,,,,,,,,,,,,
Gord,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Grock,0,0,,4,0,0,4,57.1%,,2,57.14%,,,,,,,,,,,,,,
Guinevere,0,0,,0,0,2,2,28.6%,,,0.00%,,,,,,,,,,,,,,
Gusion,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Hanabi,1,0,0.0%,0,0,0,1,14.3%,14,,0.00%,,,,,,,,,,,,,,
Hanzo,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Harley,0,0,,3,2,0,5,71.4%,,3,42.86%,,,,,,,,,,,,,,
Helcurt,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Hylos,0,0,,1,0,2,3,42.9%,,6,14.29%,,,,,,,,,,,,,,
Irithel,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Ixia,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Jawhead,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Johnson,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Julian,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Kadita,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Kagura,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Karina,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Karrie,1,1,100.0%,1,2,1,5,71.4%,15,7,14.29%,,,,,,,,,,,,,,
Khufra,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Layla,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Leomord,2,1,50.0%,1,2,0,5,71.4%,4,8,14.29%,,,,,,,,,,,,,,
Lesley,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Ling,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Lolita,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Lukas,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Luo Yi,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Lunox,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Lylia,0,0,,1,0,0,1,14.3%,,9,14.29%,,,,,,,,,,,,,,
Marcel,1,0,0.0%,0,0,3,4,57.1%,16,,0.00%,,,,,,,,,,,,,,
Martis,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Masha,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Mathilda,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Melissa,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Miya,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Minotaur,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Minsitthar,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Nana,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Natalia,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Natan,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Nolan,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Novaria,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Obsidia,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Odette,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Claude,2,0,0.0%,1,2,0,5,71.4%,5,10,14.29%,,,,,,,,,,,,,,
Lancelot,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Kalea,1,1,100.0%,3,1,2,7,100.0%,17,4,42.86%,,,,,,,,,,,,,,
Arlott,0,0,,0,1,1,2,28.6%,,,0.00%,,,,,,,,,,,,,,
Harith,1,0,0.0%,0,0,0,1,14.3%,18,,0.00%,,,,,,,,,,,,,,
Beatrix,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Bruno,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Cici,1,0,0.0%,0,0,0,1,14.3%,19,,0.00%,,,,,,,,,,,,,,
Esmeralda,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Joy,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Kaja,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
Kimmy,2,1,50.0%,0,0,0,2,28.6%,6,,0.00%,,,,,,,,,,,,,,
Moskov,0,0,,1,1,1,3,42.9%,,11,14.29%,,,,,,,,,,,,,,
Gatotkaca,0,0,,1,0,0,1,14.3%,,12,14.29%,,,,,,,,,,,,,,
Chou,1,0,0.0%,0,1,0,2,28.6%,20,,0.00%,,,,,,,,,,,,,,
Hayabusa,0,0,,0,0,0,0,0.0%,,,0.00%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
